# x1,x2,x3,x4,x5,x6,y,standard deviation
7.267449117808947312e-01,7.119404806679436870e-01,-8.931986762243315781e-01,9.592981017924437359e-02,1.132945921106849774e+00,-1.103093682708971013e+00,1.262532448536425278e+02,1.132086355211343509e+01
1.666823655225663225e-01,9.376535670355976571e-01,-7.810889323279313068e-01,-9.638152391761085902e-02,1.790531988153376108e+00,-2.213855516850463001e+00,1.177845408368571327e+02,1.098740644320546700e+01
4.873385935974250405e-01,7.570513037439376980e-01,-7.296178543496318891e-01,6.347586982836345149e-02,1.928173947579281844e+00,-1.158241903777228909e+00,1.331125633922866314e+02,1.125208738283425447e+01
9.779096381022513995e-01,5.856773827494452522e-01,-8.725189735703716698e-01,3.220031540524082025e-02,1.268645998357618598e+00,-1.055162364966943933e+00,1.365998932126061050e+02,1.149039315766841085e+01
9.840767968086935324e-01,7.022614355593292945e-01,-6.145001447452556054e-01,-6.127247258122268253e-02,1.151668414253407269e+00,-2.003097917803631667e+00,1.376627941460901638e+02,1.156654283909969649e+01
5.634236492253774653e-02,8.972147664500658149e-01,-7.632174958271963350e-01,5.332180370822733884e-02,1.293339546015886521e+00,-2.242055593184326678e+00,1.065697214056860957e+02,1.099419469217080092e+01
7.896431181094946128e-01,9.467268057552640226e-01,-9.031398116695272815e-01,3.086807817834202883e-02,1.744812611885152576e+00,-2.826541339853344770e+00,1.805275101192355010e+02,1.331555887777330938e+01
4.211623706486828933e-01,7.893162025269182536e-01,-9.642130886885373897e-01,-8.370846646943833069e-02,1.704788825490954896e+00,-1.205938320424565280e+00,1.052086433302532953e+02,1.066132548796708335e+01
7.477443550398782390e-01,5.629189969260064430e-01,-4.385288739609204400e-01,9.963643135613883817e-02,1.007140164528987691e+00,-1.155858530628555148e+00,1.155647121788213525e+02,1.053516515818837362e+01
1.606335138467890333e-01,8.341472623685962651e-01,-9.519307781082412268e-01,9.877810583569432423e-02,1.921350018994989917e+00,-2.562833550931239657e+00,1.600062847781257460e+02,1.246327455899028891e+01
9.874547571942193791e-01,8.288524347662379332e-01,-3.189142525783223991e-01,8.889182245770096968e-02,1.262104906319556186e+00,-1.460909612107596178e+00,1.189096267273352794e+02,1.143984665163334924e+01
1.004236361132683220e-01,6.126729727497099987e-01,-4.043927083026069846e-01,-2.792301798207881547e-02,1.770378441792759272e+00,-2.949153468172804438e+00,1.345806095904378878e+02,1.114664830506869642e+01
9.074611913277341735e-02,9.647792406856670056e-01,-7.387452780877349356e-01,6.328366269511551123e-02,1.173493507033412708e+00,-1.720636070447556065e+00,1.030924469602672673e+02,1.045996135321019516e+01
5.247784282283588508e-01,5.602770005155015554e-01,-6.935201487646063256e-01,-7.385564825520654630e-02,1.005995545256587409e+00,-1.884405432967032112e+00,1.179491663339945831e+02,1.040921508980681764e+01
1.598623508931289461e-01,7.341537551567745012e-01,-5.291185949937392552e-01,4.648912011906305985e-02,1.757312362704357200e+00,-2.774791288899808528e+00,1.183334258949999054e+02,1.165647247184771373e+01
2.199059843441181217e-01,8.234799733254499765e-01,-7.884447121372247791e-01,3.861065639775296265e-02,1.709974389270283890e+00,-2.714036560832293610e+00,1.652575796390765390e+02,1.204856573714604373e+01
